ID,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
100,Kuwait,707,"1,091","1,152","1,230","1,017","1,104","1,124","1,037",973,"1,044",937,"1,057","1,055"
101,Kyrgyzstan,356,439,656,785,597,632,574,507,542,648,652,707,790
102,Laos,896,"1,147","1,242","2,892","2,575","2,198","1,688","1,200",956,949,923,806,917
103,Latvia,458,605,768,892,568,455,444,435,426,436,424,384,480
104,Lebanon,"2,956","3,818","4,282","4,083","4,267","4,254","3,831","3,487","3,295","2,879","2,783","3,245","2,813"
105,Lesotho,5,14,12,18,14,16,14,23,25,17,20,13,23
106,Liberia,"1,766","2,757","4,880","6,887","4,102","7,193","7,641","4,837","4,151","4,109","3,334","3,874","3,795"
107,Libya,140,185,223,271,186,285,296,355,357,315,376,524,734
108,Lithuania,"2,266","2,480","2,417","1,885","1,361",967,"1,069",985,936,924,854,747,750
109,Luxembourg,16,13,35,28,39,28,30,22,24,19,40,26,27
110,Macau,244,192,133,189,178,205,158,143,130,120,106,105,99
111,Macedonia,653,775,"1,070","1,317","1,227","1,107","1,128",963,"1,078",906,895,960,"1,060"
112,Madagascar,40,54,60,72,53,77,71,80,83,79,95,86,72
113,Malawi,62,83,131,131,123,133,164,164,123,192,159,172,160
114,Malaysia,"1,200","1,987","2,632","2,281","2,149","1,945","2,014","1,714","2,273","2,605","2,477","2,622","2,749"
115,Maldives,15,7,6,NULL,9,NULL,6,NULL,3,NULL,5,13,8
116,Mali,124,163,277,408,412,523,576,528,629,734,667,604,587
117,Malta,37,57,74,70,53,66,58,74,51,62,43,39,58
118,Marshall Islands,26,48,32,53,48,39,48,37,38,50,46,56,32
119,Mauritania,131,170,275,720,651,844,597,495,393,410,354,320,298
120,Mauritius,57,65,99,108,88,83,110,84,101,77,83,81,96
121,Mexico,"115,585","175,411","161,445","173,749","148,640","189,989","164,920","139,120","143,446","146,406","135,028","134,052","158,619"
122,"Micronesia, Federated States",4,5,6,12,7,13,16,10,9,13,4,5,6
123,Moldova,"1,151","1,507","3,506","3,036","1,356","1,692","2,295","1,981","2,258","2,021","2,485","2,341","2,496"
124,Monaco,3,7,7,NULL,6,7,4,12,6,5,8,8,10
125,Mongolia,153,229,323,497,530,659,831,594,774,691,729,651,644
126,Montenegro,NULL,NULL,NULL,NULL,0,0,0,120,204,265,265,289,251
